# Codzienność i działania
avere | mieć | to have
abbiamo | mamy | we have
bere | pić | to drink
aprire | otwierać | to open
collegare | połączyć / podłączyć | to connect / plug in
creare | tworzyć | to create
mettere | wkładać / kłaść / umieszczać / wpisywać | to put / place / insert
riscaldare | ogrzewać | to warm / heat
asciugare | suszyć / wycierać | to dry
venire | przychodzić / przyjeżdżać | to come / arrive
viene | przychodzi / przyjedzie | comes / will come

# Użyteczne sytuacje
hai tempo? | masz czas? | do you have time?
ho fame | jestem głodny | I am hungry
non riesco a... | nie mogę / nie daję rady czegoś zrobić | I can't / I can't manage to...
c'è | jest / znajduje się | there is / there are
si chiama | nazywa się | is called / is named
manca | brakuje | is missing / there is a lack of

# Opis i ocena
i vantaggi | zalety / korzyści | advantages / benefits
gli svantaggi | wady / minusy | disadvantages / drawbacks
purtroppo | niestety | unfortunately
comunque | tak czy inaczej / w każdym razie | anyway
dunque | więc / zatem | so / therefore
perché | ponieważ / dlaczego | because / why
secondo te | według ciebie | in your opinion
secondo me | według mnie | in my opinion

# Inne ważne słowa
il/la interprete | tłumacz / tłumaczka | interpreter
la parola | słowo | word
il problema | problem | problem
la soluzione | rozwiązanie | solution
